go_id	go	gene_id
GB41196	GO:0008270	LOC411466
GB41196	GO:0018024	LOC411466
GB41196	GO:0051568	LOC411466
GB41197	GO:0006464	LOC413973
GB41198	GO:0043231	LOC410636
GB41198	GO:0051537	LOC410636
GB41199	GO:0003684	LOC551316
GB41199	GO:0004519	LOC551316
GB41199	GO:0005634	LOC551316
GB41199	GO:0006281	LOC551316
GB41202	GO:0005576	LOC100577513
GB41202	GO:0006030	LOC100577513
GB41202	GO:0008061	LOC100577513
GB41203	GO:0005576	Cpap3-c
GB41203	GO:0006030	Cpap3-c
GB41203	GO:0008061	Cpap3-c
GB41205	GO:0016491	LOC100578109
GB41206	GO:0000213	LOC100576366
GB41206	GO:0000214	LOC100576366
GB41206	GO:0003676	LOC100576366
GB41206	GO:0006388	LOC100576366
GB41206	GO:0016829	LOC100576366
GB41208	GO:0006270	LOC410073
GB41210	GO:0005739	LOC726131
GB41210	GO:0015031	LOC726131
GB41210	GO:0046872	LOC726131
GB41211	GO:0005524	LOC551235
GB41211	GO:0016887	LOC551235
GB41212	GO:0005507	LOC552811
GB41212	GO:0016491	LOC552811
GB41214	GO:0008146	LOC412956
GB41214	GO:0016021	LOC412956
GB41215	GO:0005813	LOC100578040
GB41215	GO:0036064	LOC100578040
GB41215	GO:0044782	LOC100578040
GB41220	GO:0008440	LOC413817
GB41222	GO:0004930	LOC724780
GB41222	GO:0007166	LOC724780
GB41222	GO:0016021	LOC724780
GB41224	GO:0001104	LOC408728
GB41224	GO:0016592	LOC408728
GB41225	GO:0005215	LOC410915
GB41225	GO:0016021	LOC410915
GB41226	GO:0005391	LOC410913
GB41226	GO:0005524	LOC410913
GB41226	GO:0016021	LOC410913
GB41226	GO:0046872	LOC410913
GB41227	GO:0005576	Cpap3-b
GB41227	GO:0006030	Cpap3-b
GB41227	GO:0008061	Cpap3-b
GB41230	GO:0005267	LOC413503
GB41230	GO:0016021	LOC413503
GB41231	GO:0005524	Ube2g1
GB41231	GO:0016874	Ube2g1
GB41232	GO:0004672	LOC551949
GB41232	GO:0005524	LOC551949
GB41233	GO:0004637	LOC100577675
GB41233	GO:0004641	LOC100577675
GB41233	GO:0004644	LOC100577675
GB41233	GO:0005524	LOC100577675
GB41233	GO:0005737	LOC100577675
GB41233	GO:0006189	LOC100577675
GB41233	GO:0009113	LOC100577675
GB41233	GO:0046872	LOC100577675
GB41235	GO:0006099	LOC551917
GB41235	GO:0009055	LOC551917
GB41235	GO:0016491	LOC551917
GB41235	GO:0051536	LOC551917
GB41239	GO:0003676	LOC725061
GB41239	GO:0005634	LOC725061
GB41239	GO:0008270	LOC725061
GB41240	GO:0005215	LOC552149
GB41240	GO:0016021	LOC552149
GB41242	GO:0005622	LOC410916
GB41242	GO:0008565	LOC410916
GB41242	GO:0016021	LOC410916
GB41242	GO:0035556	LOC410916
GB41243	GO:0004930	LOC408729
GB41243	GO:0016021	LOC408729
GB41244	GO:0016787	LOC408730
GB41244	GO:0046856	LOC408730
GB41250	GO:0003676	LOC100578706
GB41250	GO:0046872	LOC100578706
GB41252	GO:0005634	LOC724559
GB41252	GO:0006281	LOC724559
GB41252	GO:0007049	LOC724559
GB41257	GO:0004722	LOC552412
GB41257	GO:0046872	LOC552412
GB41258	GO:0051260	LOC412616
GB41259	GO:0006338	LOC100576104
GB41259	GO:0006355	LOC100576104
GB41259	GO:0031011	LOC100576104
GB41260	GO:0005507	LOC414002
GB41260	GO:0016491	LOC414002
GB41266	GO:0001522	LOC413805
GB41266	GO:0003723	LOC413805
GB41266	GO:0006396	LOC413805
GB41266	GO:0009982	LOC413805
GB41270	GO:0005576	LOC100577576
GB41270	GO:0006030	LOC100577576
GB41270	GO:0008061	LOC100577576
GB41275	GO:0005739	LOC727172
GB41279	GO:0016021	LOC726836
GB41280	GO:0004656	LOC408862
GB41280	GO:0005506	LOC408862
GB41280	GO:0005783	LOC408862
GB41280	GO:0016702	LOC408862
GB41280	GO:0031418	LOC408862
GB41283	GO:0005576	LOC408864
GB41283	GO:0030414	LOC408864
GB41289	GO:0016021	LOC411664
GB41291	GO:0016021	LOC551314
GB41292	GO:0016021	LOC724218
GB41292	GO:0016787	LOC724218
GB41293	GO:0004402	LOC552696
GB41293	GO:0005634	LOC552696
GB41293	GO:0006355	LOC552696
GB41294	GO:0000166	LOC724474
GB41294	GO:0003723	LOC724474
GB41294	GO:0005634	LOC724474
GB41294	GO:0006396	LOC724474
GB41294	GO:0030529	LOC724474
GB41295	GO:0016765	LOC724564
GB41297	GO:0005262	LOC724608
GB41297	GO:0016021	LOC724608
GB41301	GO:0005509	LOC412487
GB41301	GO:0005544	LOC412487
GB41302	GO:0003993	LOC726703
GB41303	GO:0005739	LOC725705
GB41303	GO:0015031	LOC725705
GB41303	GO:0046872	LOC725705
GB41304	GO:0004819	LOC413718
GB41304	GO:0005524	LOC413718
GB41304	GO:0005737	LOC413718
GB41304	GO:0006425	LOC413718
GB41305	GO:0003689	LOC413807
GB41305	GO:0005524	LOC413807
GB41305	GO:0005663	LOC413807
GB41305	GO:0006260	LOC413807
GB41305	GO:0006281	LOC413807
GB41310	GO:0005524	LOC410075
GB41312	GO:0016021	LOC100578893
GB41312	GO:0035091	LOC100578893
GB41313	GO:0008643	LOC409141
GB41313	GO:0016021	LOC409141
GB41314	GO:0004383	sGCbeta-3
GB41314	GO:0005622	sGCbeta-3
GB41314	GO:0020037	sGCbeta-3
GB41314	GO:0035556	sGCbeta-3
GB41316	GO:0004984	LOC100576522
GB41316	GO:0005549	LOC100576522
GB41316	GO:0016021	LOC100576522
GB41317	GO:0006355	LOC100576434
GB41317	GO:0007423	LOC100576434
GB41326	GO:0003993	LOC725215
GB41333	GO:0003677	LOC725552
GB41333	GO:0003899	LOC725552
GB41333	GO:0006351	LOC725552
GB41335	GO:0003676	LOC552772
GB41335	GO:0005737	LOC552772
GB41335	GO:0016279	LOC552772
GB41336	GO:0005815	LOC413166
GB41336	GO:0034453	LOC413166
GB41338	GO:0003993	Acph-1
GB41338	GO:0005576	Acph-1
GB41339	GO:0003993	LOC726737
GB41340	GO:0008023	LOC100579034
GB41341	GO:0005634	LOC412488
GB41342	GO:0003677	LOC409979
GB41342	GO:0003678	LOC409979
GB41342	GO:0005524	LOC409979
GB41342	GO:0005634	LOC409979
GB41342	GO:0006270	LOC409979
GB41342	GO:0042555	LOC409979
GB41343	GO:0005578	LOC552545
GB41343	GO:0005886	LOC552545
GB41343	GO:0031225	LOC552545
GB41346	GO:0003824	LOC412303
GB41346	GO:0009058	LOC412303
GB41347	GO:0000902	LOC413063
GB41347	GO:0000910	LOC413063
GB41347	GO:0005089	LOC413063
GB41347	GO:0005096	LOC413063
GB41347	GO:0005634	LOC413063
GB41347	GO:0005737	LOC413063
GB41347	GO:0035023	LOC413063
GB41347	GO:0035556	LOC413063
GB41347	GO:0045666	LOC413063
GB41352	GO:0005216	LOC408865
GB41352	GO:0016021	LOC408865
GB41358	GO:0003746	EF1a-F2
GB41358	GO:0003924	EF1a-F2
GB41358	GO:0005525	EF1a-F2
GB41358	GO:0005737	EF1a-F2
GB41359	GO:0003735	LOC724744
GB41359	GO:0005840	LOC724744
GB41359	GO:0006412	LOC724744
GB41360	GO:0008527	LOC413684
GB41360	GO:0016021	LOC413684
GB41361	GO:0020037	LOC724654
GB41361	GO:0046872	LOC724654
GB41362	GO:0001522	LOC413686
GB41362	GO:0031429	LOC413686
GB41362	GO:0042254	LOC413686
GB41363	GO:0005524	LOC410026
GB41363	GO:0005737	LOC410026
GB41363	GO:0016787	LOC410026
GB41363	GO:0030163	LOC410026
GB41367	GO:0003884	LOC552692
GB41367	GO:0046416	LOC552692
GB41367	GO:0071949	LOC552692
GB41368	GO:0003677	LOC724170
GB41368	GO:0003887	LOC724170
GB41368	GO:0005634	LOC724170
GB41368	GO:0006281	LOC724170
GB41369	GO:0004197	LOC411381
GB41369	GO:0006915	LOC411381
GB41372	GO:0005215	LOC409043
GB41372	GO:0016021	LOC409043
GB41372	GO:0055085	LOC409043
GB41386	GO:0015078	LOC727630
GB41386	GO:0015991	LOC727630
GB41386	GO:0016021	LOC727630
GB41386	GO:0033179	LOC727630
GB41388	GO:0004367	Gpdh
GB41388	GO:0005975	Gpdh
GB41388	GO:0009331	Gpdh
GB41388	GO:0046168	Gpdh
GB41388	GO:0051287	Gpdh
GB41391	GO:0003676	LOC100576261
GB41391	GO:0008270	LOC100576261
GB41392	GO:0000166	LOC552027
GB41392	GO:0003676	LOC552027
GB41397	GO:0004930	LOC412011
GB41397	GO:0016021	LOC412011
GB41398	GO:0016021	LOC551227
GB41399	GO:0004252	LOC411358
GB41401	GO:0046872	LOC724787
GB41406	GO:0004383	LOC413274
GB41406	GO:0005622	LOC413274
GB41406	GO:0020037	LOC413274
GB41406	GO:0035556	LOC413274
GB41410	GO:0004252	LOC724477
GB41411	GO:0005634	LOC100576220
GB41411	GO:0006355	LOC100576220
GB41411	GO:0043565	LOC100576220
GB41413	GO:0051920	Tpx-4
GB41418	GO:0005576	LOC725217
GB41418	GO:0006869	LOC725217
GB41418	GO:0008289	LOC725217
GB41418	GO:0042157	LOC725217
GB41419	GO:0003676	LOC725301
GB41419	GO:0046872	LOC725301
GB41423	GO:0003676	LOC413074
GB41423	GO:0005524	LOC413074
GB41423	GO:0008026	LOC413074
GB41427	GO:0004096	Cat
GB41427	GO:0006979	Cat
GB41427	GO:0020037	Cat
GB41427	GO:0042744	Cat
GB41427	GO:0046872	Cat
GB41428	GO:0005576	Def1
GB41428	GO:0042742	Def1
GB41428	GO:0045087	Def1
GB41430	GO:0016021	LOC408886
GB41444	GO:0008080	LOC724656
GB41446	GO:0005198	LOC411595
GB41446	GO:0006886	LOC411595
GB41446	GO:0016192	LOC411595
GB41446	GO:0030130	LOC411595
GB41446	GO:0030132	LOC411595
GB41447	GO:0006629	LOC551055
GB41448	GO:0005096	LOC727108
GB41448	GO:0007165	LOC727108
GB41454	GO:0004181	LOC724816
GB41454	GO:0008270	LOC724816
GB41455	GO:0004817	LOC411167
GB41455	GO:0005524	LOC411167
GB41455	GO:0006423	LOC411167
GB41459	GO:0005216	LOC100576304
GB41459	GO:0016021	LOC100576304
GB41467	GO:0005856	LOC725218
GB41467	GO:0006915	LOC725218
GB41467	GO:0007050	LOC725218
GB41469	GO:0005525	LOC408882
GB41470	GO:0008270	LOC408883
GB41470	GO:0016787	LOC408883
GB41471	GO:0016021	LOC100577669
GB41472	GO:0003677	LOC411164
GB41472	GO:0003899	LOC411164
GB41472	GO:0006351	LOC411164
GB41483	GO:0003676	Kr
GB41483	GO:0003677	Kr
GB41483	GO:0005634	Kr
GB41483	GO:0035282	Kr
GB41483	GO:0046872	Kr
GB41486	GO:0016021	LOC412170
GB41487	GO:0000124	LOC410031
GB41487	GO:0003712	LOC410031
GB41491	GO:0004001	LOC551856
GB41491	GO:0006166	LOC551856
GB41492	GO:0003676	LOC551832
GB41492	GO:0008270	LOC551832
GB41494	GO:0016021	LOC100576666
GB41495	GO:0005525	LOC100576703
GB41510	GO:0008612	LOC100578266
GB41516	GO:0003707	LOC413076
GB41516	GO:0004887	LOC413076
GB41516	GO:0005634	LOC413076
GB41516	GO:0006351	LOC413076
GB41516	GO:0008270	LOC413076
GB41516	GO:0043565	LOC413076
GB41520	GO:0005634	LOC411175
GB41520	GO:0006355	LOC411175
GB41521	GO:0005634	LOC408890
GB41521	GO:0006355	LOC408890
GB41522	GO:0003677	LOC408891
GB41522	GO:0005634	LOC408891
GB41525	GO:0016021	LOC408892
GB41525	GO:0016491	LOC408892
GB41533	GO:0006006	LOC100577893
GB41533	GO:0016620	LOC100577893
GB41533	GO:0050661	LOC100577893
GB41533	GO:0051287	LOC100577893
GB41543	GO:0005344	LOC726240
GB41543	GO:0019825	LOC726240
GB41543	GO:0020037	LOC726240
GB41549	GO:0046872	LOC725393
GB41552	GO:0016021	LOC100577099
GB41553	GO:0005622	LOC412824
GB41553	GO:0048193	LOC412824
GB41553	GO:0070273	LOC412824
GB41579	GO:0005509	LOC727084
GB41586	GO:0005622	LOC725314
GB41586	GO:0006614	LOC725314
GB41586	GO:0016021	LOC725314
GB41590	GO:0005737	LOC727460
GB41590	GO:0005856	LOC727460
GB41590	GO:0016021	LOC727460
GB41590	GO:0019898	LOC727460
GB41591	GO:0005975	LOC727456
GB41591	GO:0016853	LOC727456
GB41591	GO:0030246	LOC727456
GB41592	GO:0005096	LOC412003
GB41592	GO:0005622	LOC412003
GB41592	GO:0035556	LOC412003
GB41593	GO:0005856	LOC551272
GB41598	GO:0006281	LOC552824
GB41598	GO:0006338	LOC552824
GB41598	GO:0006355	LOC552824
GB41598	GO:0031011	LOC552824
GB41598	GO:0035267	LOC552824
GB41602	GO:0016021	LOC408478
GB41602	GO:0022891	LOC408478
GB41606	GO:0008270	LOC726947
GB41609	GO:0003676	LOC727008
GB41609	GO:0004386	LOC727008
GB41609	GO:0005524	LOC727008
GB41610	GO:0046872	LOC410549
GB41617	GO:0016874	LOC410554
GB41618	GO:0005576	LOC100576184
GB41618	GO:0006030	LOC100576184
GB41618	GO:0008061	LOC100576184
GB41619	GO:0016021	LOC100577387
GB41622	GO:0016021	LOC100576152
GB41623	GO:0005576	LOC100577362
GB41623	GO:0006030	LOC100577362
